                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 0.7916,                0.37301,                0.78182,                0.89993,                0.73186,                0.80383,                0.54596,                 0.8343,                0.39343,                0.79373,              0.0004085,              0.0004085,              0.0004085
                     70,                0.81106,                0.38047,                 0.7789,                0.90699,                0.74229,                0.81095,                0.54545,                0.81284,                0.38064,                0.79343,             0.00039613,             0.00039613,             0.00039613
                     71,                0.77624,                0.36214,                0.78206,                0.89597,                0.74797,                0.80294,                0.56074,                0.79912,                0.37927,                0.79199,             0.00038375,             0.00038375,             0.00038375
                     72,                0.79049,                0.36522,                  0.779,                0.90016,                 0.7276,                0.80961,                0.55037,                 0.8239,                0.39815,                0.79129,             0.00037138,             0.00037138,             0.00037138
                     73,                0.78652,                0.36304,                0.77984,                 0.8497,                 0.7012,                0.79527,                0.53808,                0.79495,                 0.3847,                0.79115,               0.000359,               0.000359,               0.000359
                     74,                0.77832,                0.36032,                0.77705,                0.88882,                0.76679,                0.80813,                0.55686,                0.80976,                0.38737,                0.79182,             0.00034663,             0.00034663,             0.00034663
                     75,                0.75846,                0.35386,                0.77755,                0.91347,                0.76238,                0.81478,                0.55238,                0.78352,                0.37425,                0.79096,             0.00033425,             0.00033425,             0.00033425
                     76,                0.77978,                0.36019,                0.77936,                0.92516,                0.73888,                0.80915,                0.54922,                0.79024,                0.37521,                0.79108,             0.00032188,             0.00032188,             0.00032188
                     77,                 0.7527,                0.34921,                0.77575,                0.93706,                0.74732,                 0.8124,                0.56441,                0.81911,                0.37123,                0.79216,              0.0003095,              0.0003095,              0.0003095
                     78,                0.75497,                0.35238,                0.77662,                0.92483,                0.73737,                0.80675,                0.55534,                0.81262,                 0.3817,                0.79102,             0.00029713,             0.00029713,             0.00029713
                     79,                0.75618,                0.35168,                0.77717,                0.92874,                0.74838,                0.82316,                 0.5637,                0.80614,                 0.3813,                0.79057,             0.00028475,             0.00028475,             0.00028475
                     80,                0.76336,                0.35832,                0.77946,                0.94187,                0.74111,                0.80332,                0.56125,                 0.8202,                0.38126,                0.79213,             0.00027237,             0.00027237,             0.00027237
                     81,                0.76373,                0.35445,                0.77675,                0.94069,                0.75684,                0.81151,                0.57572,                0.79083,                0.38332,                0.79095,                0.00026,                0.00026,                0.00026
                     82,                 0.7305,                0.34199,                0.77694,                0.90441,                 0.7442,                0.80637,                 0.5669,                0.79729,                0.37503,                0.79086,             0.00024762,             0.00024762,             0.00024762
                     83,                0.73554,                0.34175,                0.77585,                0.97234,                0.73202,                0.81125,                0.56035,                0.80035,                0.36826,                0.79015,             0.00023525,             0.00023525,             0.00023525
                     84,                0.74384,                 0.3429,                0.77783,                0.93672,                0.76279,                0.82292,                 0.5683,                0.79173,                  0.376,                0.78962,             0.00022288,             0.00022288,             0.00022288
                     85,                0.73621,                0.34101,                0.77611,                0.96721,                0.76018,                0.82457,                0.58279,                0.79151,                0.37285,                0.78998,              0.0002105,              0.0002105,              0.0002105
                     86,                0.76191,                0.35043,                0.77579,                0.92733,                0.75547,                0.82859,                0.57629,                0.80083,                0.37687,                0.79171,             0.00019813,             0.00019813,             0.00019813
                     87,                 0.7189,                0.33898,                0.77566,                0.96424,                0.74917,                0.83307,                 0.5826,                0.78788,                0.37816,                0.79109,             0.00018575,             0.00018575,             0.00018575
                     88,                0.72689,                0.33741,                0.77525,                0.94337,                0.72132,                0.80609,                0.56133,                0.78974,                 0.3785,                0.79035,             0.00017338,             0.00017338,             0.00017338
                     89,                0.72243,                0.33992,                0.77511,                0.93186,                 0.7612,                0.82783,                0.58061,                0.79207,                0.37322,                0.79012,               0.000161,               0.000161,               0.000161
                     90,                0.71186,                0.33325,                0.77652,                0.92435,                0.72662,                0.80617,                0.56359,                0.79362,                0.36985,                0.79029,             0.00014862,             0.00014862,             0.00014862
                     91,                0.68043,                0.33152,                0.77467,                0.92892,                 0.7376,                0.81797,                0.55927,                0.80112,                0.38172,                0.78967,             0.00013625,             0.00013625,             0.00013625
                     92,                0.65771,                0.32205,                0.77613,                0.88235,                0.74943,                0.80464,                0.56783,                0.80508,                0.37943,                0.79016,             0.00012387,             0.00012387,             0.00012387
                     93,                 0.6503,                0.31929,                0.77619,                0.88343,                0.74967,                0.81354,                0.56546,                0.80914,                0.38479,                0.79061,              0.0001115,              0.0001115,              0.0001115
                     94,                0.64499,                0.31474,                0.77537,                0.97002,                0.69512,                0.79457,                0.55969,                0.80332,                0.37434,                0.79094,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.64622,                0.31441,                0.77323,                0.94465,                0.73788,                0.81076,                0.56181,                0.80774,                0.37179,                0.79097,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.63682,                0.31101,                0.77477,                0.90074,                0.75346,                0.81737,                0.57407,                0.80702,                0.37548,                0.78909,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.62771,                0.30781,                0.77308,                0.93868,                0.74953,                0.81534,                  0.572,                0.78648,                0.37795,                0.78881,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.63203,                0.30981,                0.77164,                0.91104,                0.75896,                0.81159,                0.56873,                0.78829,                 0.3726,                0.78974,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.62811,                0.30735,                0.77338,                0.92903,                0.75906,                0.81044,                0.57044,                0.78701,                0.37268,                0.78875,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.61421,                0.29887,                0.77426,                0.93822,                0.75928,                0.81138,                0.57429,                0.78129,                0.37366,                 0.7885,             2.4875e-05,             2.4875e-05,             2.4875e-05
